"filename", "language", "JSON", "C#", "comment", "blank", "total"
"d:\MakeGames\GameProject\ori\mod_source\entities\slimes\snowfield_slime.json", "JSON", 31, 0, 0, 0, 31
"d:\MakeGames\GameProject\ori\mod_source\entities\zombie.json", "JSON", 25, 0, 0, 0, 25
"d:\MakeGames\GameProject\ori\mod_source\items\armors\bark_vest.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\items\armors\leaf_skirt.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\items\armors\plant_fiber_vest.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\items\armors\sneakers.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\items\armors\sports_shorts.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\items\armors\sports_vest.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\items\armors\straw_hat.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\items\bark.json", "JSON", 9, 0, 0, 0, 9
"d:\MakeGames\GameProject\ori\mod_source\items\bottle.json", "JSON", 9, 0, 0, 0, 9
"d:\MakeGames\GameProject\ori\mod_source\items\cactus_flower.json", "JSON", 8, 0, 0, 0, 8
"d:\MakeGames\GameProject\ori\mod_source\items\chicken_feather.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\items\dog_tail_grass_dough.json", "JSON", 11, 0, 0, 0, 11
"d:\MakeGames\GameProject\ori\mod_source\items\dog_tail_grass_powder.json", "JSON", 8, 0, 0, 0, 8
"d:\MakeGames\GameProject\ori\mod_source\items\duck_feather.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\items\feather_wing.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\items\flint.json", "JSON", 9, 0, 0, 0, 9
"d:\MakeGames\GameProject\ori\mod_source\items\foods\berry.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\items\foods\carrot.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\items\foods\chicken_drumstick.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\items\foods\chicken_egg.json", "JSON", 13, 0, 0, 0, 13
"d:\MakeGames\GameProject\ori\mod_source\items\foods\condiments\sugar.json", "JSON", 8, 0, 0, 0, 8
"d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\deep-frying\fried_egg.json", "JSON", 13, 0, 0, 0, 13
"d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\deep-frying\potato_chips.json", "JSON", 13, 0, 0, 0, 13
"d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\deep-frying\roast_scallion.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\dog_tail_grass_noodles.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\egg_drop_soup.json", "JSON", 13, 0, 0, 0, 13
"d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\fried_snow.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\green_dumpling.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\pig_soup.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\poultry_soup.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\salad.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\strange_dish.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\items\foods\duck_drumstick.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\items\foods\duck_egg.json", "JSON", 13, 0, 0, 0, 13
"d:\MakeGames\GameProject\ori\mod_source\items\foods\juices\watermelon_juice.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\items\foods\onion.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\items\foods\pig_chop.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\items\foods\potato.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\items\foods\pumpkin.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\items\foods\scallion.json", "JSON", 18, 0, 0, 0, 18
"d:\MakeGames\GameProject\ori\mod_source\items\foods\tomato.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\items\foods\watermelon.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\items\mana_stone.json", "JSON", 11, 0, 0, 0, 11
"d:\MakeGames\GameProject\ori\mod_source\items\plant_fiber.json", "JSON", 10, 0, 0, 0, 10
"d:\MakeGames\GameProject\ori\mod_source\items\raw_dog_tail_grass_noodles.json", "JSON", 8, 0, 0, 0, 8
"d:\MakeGames\GameProject\ori\mod_source\items\shelled_dog_tail_grass.json", "JSON", 8, 0, 0, 0, 8
"d:\MakeGames\GameProject\ori\mod_source\items\slime_gel.json", "JSON", 11, 0, 0, 0, 11
"d:\MakeGames\GameProject\ori\mod_source\items\spell_manuscript.json", "JSON", 11, 0, 0, 0, 11
"d:\MakeGames\GameProject\ori\mod_source\items\stick.json", "JSON", 19, 0, 0, 0, 19
"d:\MakeGames\GameProject\ori\mod_source\items\straw_rope.json", "JSON", 9, 0, 0, 0, 9
"d:\MakeGames\GameProject\ori\mod_source\items\tools\hoes\flint.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\items\tools\hoes\iron.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\items\tools\knives\flint.json", "JSON", 25, 0, 0, 0, 25
"d:\MakeGames\GameProject\ori\mod_source\items\tools\knives\iron.json", "JSON", 25, 0, 0, 0, 25
"d:\MakeGames\GameProject\ori\mod_source\items\tools\saws\wooden.json", "JSON", 13, 0, 0, 0, 13
"d:\MakeGames\GameProject\ori\mod_source\items\tools\weapons\flint_sword.json", "JSON", 25, 0, 0, 0, 25
"d:\MakeGames\GameProject\ori\mod_source\items\tools\weapons\iron_sword.json", "JSON", 25, 0, 0, 0, 25
"d:\MakeGames\GameProject\ori\mod_source\items\tools\weapons\jungle_sword.json", "JSON", 13, 0, 0, 0, 13
"d:\MakeGames\GameProject\ori\mod_source\items\washed_shelled_dog_tail_grass.json", "JSON", 8, 0, 0, 0, 8
"d:\MakeGames\GameProject\ori\mod_source\items\water_bottle.json", "JSON", 9, 0, 0, 0, 9
"d:\MakeGames\GameProject\ori\mod_source\items\wooden_bow.json", "JSON", 11, 0, 0, 0, 11
"d:\MakeGames\GameProject\ori\mod_source\items\wooden_bowl.json", "JSON", 9, 0, 0, 0, 9
"d:\MakeGames\GameProject\ori\mod_source\items\wooden_bowl_with_water.json", "JSON", 10, 0, 0, 0, 10
"d:\MakeGames\GameProject\ori\mod_source\langs\en_us.json", "JSON", 1309, 0, 0, 0, 1309
"d:\MakeGames\GameProject\ori\mod_source\langs\zh_cn.json", "JSON", 1401, 0, 0, 0, 1401
"d:\MakeGames\GameProject\ori\mod_source\langs\zh_tw.json", "JSON", 1309, 0, 0, 0, 1309
"d:\MakeGames\GameProject\ori\mod_source\mod_info.json", "JSON", 11, 0, 0, 0, 11
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\deep-frying\fried_egg.json", "JSON", 17, 0, 0, 0, 17
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\deep-frying\fried_snow.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\deep-frying\potato_chips.json", "JSON", 15, 0, 0, 0, 15
